OrgNr;FirmaNavn
Johansen Rørleggerservice AS;997082680
Penthouse Miradores AS;991074651
2Kvik Bygg AS;917546355
Statsnail AS;915109012
SENTRUM ØKONOMI AS;987563540
Kvantek AS;981304772
Mediagenten AS;917572003
Salgsutvikling AS;953487748
Båt & Fritid AS;995340984
Heimvik Holding AS;989161245
Alfa Nor Regnskap AS;914813433
Hydra Regnskap AS(F);989455087
JK Krognes AS;913515781
BHL DA;992768061
Gislerud Carpets AS;998891752
Minimax Lager AS;916901054
Kyst-Revisjon AS;916616031
Bilpleiehallen AS;990311153
Holmøy Invest AS;992803533
KH Invest AS;992803622
Ditec Norge AS;989491067
Alpha Konsulent AS;917525978
Bodø Containerutleie AS;998341302
Absec AS;917533458
Lavik Kro AS;913630254
Visit Bodø;992518715
Oslo Rør & Sanitær AS;993527270
Gullfjell Consulting AS;999561594
Fenistra AS;967822760
JM Føre  AS;928461904
Ditec Holding AS;912801373
Gjh AS;988390275
Ag Eiendomsinvest AS;990494878
Utsyn Industrier AS;897645262
BOK-Holding AS;992803576
Ag Holding AS;988107131
Norkontor AS;986692029
Strandvik Transport og Maskin AS;928091678
Fusa Elektro AS;930916935
Heartmakermusic AS;915860257
Seljebo Seljestadvegen 7;985866406
Atlas Helse og Miljøtjenester AS;976299272
Takstteam Vesterålen AS;997923472
Pedal Holding AS;916974841
Medier24 AS;815450132
Hårek Salong AS;998484839
Grønne Frisører AS;916196059
Aktivitetsdosetten AS;911839962
Linn Furnes Hudpleie;917882282
Baggfossen Mikrokraft AS;996861589
Orian AS;989060341
Hammer & Kolaas AS;912610160
Gagn Accounting AS;913630696
FMK Holding AS;911802929
Well Intervention Management AS;979598165
Norsk Hundeutstyr Karina Ingeborg Åmodt;964721602
Tingvollfisk AS;915634222
Snekkergutta;918536108
Wallbox AS;886659792
Botngaard Bioprotix AS;915887872
Rome Prosjekt AS;998201292
MS Bygg AS;999248861
Molte as;937114184
Kafferiet AS;980029441
Sviskemaskin AS;914280737
Gjerde Dykk og Industriservice;980436780
Soltomtar AS;915515770
Geco Group AS;919129425
URD Klima Service Oppdal AS;985225702
AUSTGULEN OG VASSENDEN AS under avvikling;919605235
Christiania Balkonginglassing AS;919665653
3t Senior Norge AS;996786919
Terje Olsen;977243432
Løpe AS;918145982
KSL AS;919930691
Fagmøbler Sandnessjøen (Alsten Møbelsenter AS);981869877
Folkeinvest Formidling AS;913978617
Senesa Foods AS;917767181
Byggtjenester Nord AS;919982306
Dalen Legesenter DA;975848590
Selmer Nord AS;987297735
KL Transport AS;974370964
Astrid Trondsen AS;990693633
R. Nikolaisen AS;912800261
Kristina Almestad EPF;884580412
Gjengstø Maskinstasjon;967008605
Odd I. Invest AS;993034320
Pomodoro AS;914070317
Prinsdal apotek AS;911797259
Minimeis AS;912456951
Eide Gard;883983092
Grube Bygg og Maskin AS;920271596
Isme Film AS;919909730
Robust Invest AS;989211870
WRH AS;916998236
Jk. Holter Holding AS;919090502
Gaute Hesthagen;883098692
Gildefjell AS;917330212
Fagholding AS;997050568
Solhaug Utvikling AS;920692834
Torptech AS;995469987
Nord og ned AS;914384729
RØFSDALSKRAFT EIGARSELSKAP AS;921041527
Tinde Design & Trykk AS;936757499
Åsen Apotek AS;920933963
Pelister AS, c/o Stefan Popovski;986189734
Lasse Kristiansen Alt Innen Bygg;982744288
Gry Andersen Velvære;916283636
SS Fisk AS;920597033
Digirehab AS;992254467
Stor-Oslo Grunnentreprise AS;995497212
Saga Media Service;984600127
Åstorp Gård ANS;815265262
BAHR EIENDOM AS;920610447
Aktiv Boligfornying AS;921560192
Mco Bygg AS - 988 024 325;988024325
Tømrer Duda;989810375
SIA EXPRESS ANDREASSEN;920069797
Bømlo Fiskeredskap AS under avvikling;914456975
Spondyloartrittforbundet Norge;912434443
Documed AS;984698119
Barn og Baby AS;998076676
Glamitec AS;994674439
Sameiet Øvre Storgate 26;892581762
Strandgaten 72-74 AS;918108858
Nyskapende Technologi AS;920904297
Istyrelsen AS;999539912
Srs Maskin & Utstyrsalg AS;921726317
Råkk Huset AS;916610904
Haulotte Scandinavia AB;920794157
Vamo AS;821568242
Ravn Profil As;921782306
Evil Investment Corp AS;921785127
Mat og Atferd;980252256
Vadsø Fjordhotell AS(under avvikling);997892372
Coda Forms AS;911722003
Nordlys Trafikksenter AS;920202640
Brass Tacks AS;919667265
Kile Stig-Harald;957216145
Innlagveien 2 AS;915053920
Sterg AS;921552742
BELL Consulting AS;915203280
Hydla Aktiv AS;915946291
Mia Skagefoss;995101882
Byggmester Kompaniet AS;982446333
